DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA,DEPARTAMENTO
CONCHA INOX CATUAI 33CM CABO PTO .,CONCHA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
PROTEINA SOJA MAE TERRA TEXT 150G,PROTEÍNA DE SOJA,SAUDÁVEL,MERCEARIA DOCE
AGUA MIN INGA S/GAS 510ML,SEM GÁS,ÁGUA MINERAL,BEBIDAS NÃO ALCOÓLICAS
TALCO ANTIS TENYS PE CANF. ORIG. CONJ.2 100G GTS 60G,TALCO ANTISSÉPTICO,TALCO ANTISSÉPTICO,CUIDADOS COM O CORPO
"DESOD KI-AROMA RF 70G, EUCALIPTO",REFIL,LIMPEZA SANITÁRIA,CUIDADOS COM O BANHEIRO
COADOR PERMAN.N. 102 COA FACIL,COADOR,UTENSÍLIOS PARA CAFÉ,UTILIDADES DE COZINHA
BRASNICA LARANJA PERA 3K,LARANJA,FRUTAS,HORTIFRUTI
BEBIDA LACTEA LASSA 900G MORANGO,BEBIDA LÁCTEA,IOGURTE,IOGURTES
VINHO CHIL MORANDE PIONERO 750ML SAUV BLANC,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
BISC LIANE S/LACTOSE 400G COCO,COCO,BISCOITO,MERCEARIA DOCE
PERNIL C/OSSO kg PANTANEIRA TEMPERADO,PERNIL COM OSSO,SUÍNO RESFRIADO,AÇOUGUE
CR TRAT AROMA CAMPO TRAT SILIC 210G,TRADICIONAL,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
DOCE LEITE NOPONTO PAST C AMEIXA 400G,DOCE DE LEITE,DOCE PASTA,MERCEARIA DOCE
"MOLHO INGLES 1,01L CEPERA",TRADICIONAL,MOLHO INGLÊS,MERCEARIA SALGADA
DOCE LEITE NOPONTO C COCO TABL 400G,DOCE DE LEITE,DOCE PASTA,MERCEARIA DOCE
VINHO NACIONAL CAMPO LARGO SV TT 750ML,VINHO NACIONAL,VINHO,BEBIDAS ALCOÓLICAS
CR QUEIJO DANUBIO M FRESCAL 200G-PT ULTRAFILTRADO,TRADICIONAL,CREAM CHEESE,GORDUROSOS
IOG.BICAMADA AMEIXA S/LACTOSE 150G,ZERO LACTOSE,IOGURTE,IOGURTES
SAB BAR INF FRANCIS HYDRATTA BABY BANHO SUAVE AZ 90G,BÁSICO,SABONETE BARRA INFANTIL,HIGIENE PESSOAL INFANTIL
DEPILAT CERA VEET PELE NORMAL C/6 FOLHAS,CERA FRIA,DEPILATÓRIO FEMININO,CUIDADOS COM O CORPO
TIGELA PEQUENA 600ml 16cm OXFORD AB37 6404,TIGELA,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
COLEIRA BAW WAW S SIMPLES N.4,COLEIRA,ACESSÓRIOS PET,PET SHOP
IOG LIQ ITAMBE 900G-GF COCO,LÍQUIDO,IOGURTE,IOGURTES
LIXA UNHA QVS DUPLA FACE C/ ESTOJO C/2,LIXA UNHA,ACESSÓRIOS MÃO E PÉ,CUIDADOS COM MÃOS E PÉS
REFRIG PEPSI LT 350ML,COLA,REFRIGERANTES,BEBIDAS NÃO ALCOÓLICAS
JG CAMA CORTTEX CASAL AT 2.20X2.40 OLIV,JOGO DE CAMA,CAMA,"CAMA, MESA E BANHO"
MANTEIGA ELLE E VIRE 200G S/SAL,SEM SAL,MANTEIGA,GORDUROSOS
BISC WAFER VIEIRA BARRA FRAMBOESA 150G,WAFFER,BISCOITO,MERCEARIA DOCE
SAND AD HAVAIANAS SURF 37/38 AREIA/CAF,SANDÁLIA,CALÇADO ADULTO,CALÇADO
JG CAMA ST.GER CASAL 300F BC/CAR 199-9,JOGO DE CAMA,CAMA,"CAMA, MESA E BANHO"
BALA FRUITTELLA BARBIE 40g,BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
POTE SANREMO C/TRAVA RET BX 1.6L SR1742,POTES,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
CEREAL NESTLE NESCAU M/PRECO 120G,NESCAU,CEREAL MATINAL,MERCEARIA DOCE
FRALDA GER PLENITUD SUPERSEC G C/8,FRALDA GERIATRICA G,HIGIENE GERIÁTRICA FEMININA,CUIDADOS COM O CORPO
CARREG FASTPHONE ANDROID PADRAO,ACESSÓRIOS CELULAR,ACESSÓRIOS ELETRO,ELETRO
MOLHO LA PASTINA 320GR OLIVE .,TRADICIONAL,MOLHO DE TOMATE,MERCEARIA SALGADA
PALETA BOV TOP QUALITY FATIA ATM (V) KG,PALETA,BOVINO RESFRIADO,AÇOUGUE
POTE KREA P/ALIMENTO VIDRO 407 500ML,POTES,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
ABOBORA DECORATIVA PUNKITA KG,ABÓBORA,LEGUMES,HORTIFRUTI
FRIGIDEIRA KREA ANTIADERENTE 20CM 220,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
BOWL CORONA N ETNICO VM,BOWL,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
COCO BENASSI NATURAL FAT 170G,COCO,FRUTAS,HORTIFRUTI
BISC SEU DIVINO TORTA MACA S/GLUTEN 120G,SAUDÁVEL,BISCOITO,MERCEARIA DOCE
QUEIJO PARMESAO PRESIDENT FRAC KG,PARMESÃO,QUEIJO,FRIOS
LEITE FERM ACTIVIA MORANGO BJ 600G (V),FUNCIONAL SABORIZADO,LEITE FERMENTADO,IOGURTES
CR TRAT ORIGEM EQUILIBRIO 1KG,TRADICIONAL,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
POLVILHO AZEDO TUP-GUAR 1KG,POLVILHO AZEDO,FARINÁCEO,MERCEARIA DOCE
VINHO PORTUGUES RAVASQUEIRA RESV ALENTEJO 750ML,VINHO PORTUGUÊS,VINHO,BEBIDAS ALCOÓLICAS
TAPETE CORTTEX BANH RET 60X40 MENTA,TAPETES,CAPACHOS E TAPETES,DECORAÇÃO
ENDIVIA SILVESTRIN KG,ENDÍVIA,VERDURAS,HORTIFRUTI
TEQUIMEX 1L,APERITIVOS,APERITIVOS,BEBIDAS ALCOÓLICAS
CERA LUXCAR 200ML SUPERBRILHO PASTA .,CERA,AUTOMOTIVO CERA/POLIDOR,AUTOMOTIVO
FRALDA DESC SITIO PICA-PAU AMARELO JBO G C/24,INTERMEDIÁRIA G,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
BROWNIE JACQUET PEDACOS CHOCO 245G,BROWNIE,BOLOS,MERCEARIA DOCE
SENHORA PIPOCA 100g RAPADURA,PIPOCA PRONTA DOCE,SALGADINHO E APERITIVO,MERCEARIA DOCE
ALIM GATO KITEKAT AD PEIXE SACHET 70G,ÚMIDO,ALIMENTO PARA GATOS,PET SHOP
CEREAL FUNC KELLNESS GRAN AMEND CAN 270G,FUNCIONAL,CEREAL MATINAL,MERCEARIA DOCE
ACELGA PICADO 200GR LU HORTALICAS,ACELGA,VERDURAS,HORTIFRUTI
LENCO INTIMO SYM COMPACT C/14,LENÇOS ÍNTIMOS,HIGIENE ÍNTIMA FEMININA,CUIDADOS COM O CORPO
"ASSADEIRA MIMO 38X26,5X1,6 RASA LUM .",ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
SAND AD HAVAIANAS TOP CONCEITOS 35/36 CINZA ACO,SANDÁLIA,CALÇADO ADULTO,CALÇADO
INSET AERO STRAIK MULTI 300ML,AEROSOL INSETOS,INSETICIDA,CUIDADOS COM A CASA
MAXIXE EMBALADO kg,MAXIXE,LEGUMES,HORTIFRUTI
DES AERO RED APPLE FORCE 105G,AEROSOL COM PERFUME,DESODORANTE FEMININO,CUIDADOS COM O CORPO
VINHO CHIL ARESTI B-VISTA RSV 750ML CHARDONNAY,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
PAO PETROPOLIS ROMA 450G,OUTROS,PÃES,PADARIA
PIMENTA GRAO MIKA 30G,PIMENTA OUTRAS,CONDIMENTO NATURAL,MERCEARIA SALGADA
AMENDOA TORRADA/SALGADA KG,AMÊNDOA,FRUTA SECA,EMPÓRIO
BEB MAQ BELMIO CAP ADAGIO ESPRESSO,CÁPSULA CAPPUCCINO,CAFÉ,MERCEARIA DOCE
SUCO OKF C/PEDACOS DE FRUTA 240ML,REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
COLCHA BUDDEMEYER B IN DESIGN QUEEN BC,COLCHA,CAMA,"CAMA, MESA E BANHO"
COXAO MOLE BOV ARGUS (BIFE)(P) KG,COXÃO MOLE,BOVINO RESFRIADO,AÇOUGUE
SALSICHA FRANGO SEARA LIGHT 500G,FRANGO,SALSICHA,EMBUTIDOS
CAPPUCCINO UTAM LATA - 200G,CAPPUCCINO TRADICIONAL,CAFÉ,MERCEARIA DOCE
ESPUMANTE BRA SALTON MEIO DOCE 660ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
"REQUEIJAO CHEDDAR BISN.CATUPIRY 1,010KG",SABORIZADO,REQUEIJÃO,GORDUROSOS
PAPEL TOALHA C/2und STYLUS BRANCO,PAPEL TOALHA,PAPEL TOALHA,DESCARTÁVEIS
PAÇOCA ROLHA PAÇOQUITA EMBALADA C/25,PAÇOCA,DOCE TABLETE,MERCEARIA DOCE
CR DENT GEL CLOSE UP LIQ FRESH 100G,GEL DENTAL,CREME/GEL DENTAL ADULTO,HIGIENE ORAL
BOMBOM ROYAL MINTS - CUPIDO - 200 G,CHOCOLATE BOMBOM,BOMBONIERE,MERCEARIA DOCE
OLEO COMPOSTO FAISAO TRAD LT 200ML,ÓLEO COMPOSTO,AZEITE,MERCEARIA SALGADA
TORTA ESPECIAL kg .,DIVERSAS,TORTA,PRATOS PRONTOS
BISC DOCE NESFIT 200G-PC RED BAN/AVEIA/CAN,RECHEADO,BISCOITO,MERCEARIA DOCE
COSTELA SUINA TP COZ PAMPLONA PESO,COSTELA,SUÍNO RESFRIADO,AÇOUGUE
MANTA ACASA E QUEEN WAFFLE MR,MANTA,CAMA,"CAMA, MESA E BANHO"
CERV PIRAAT 330ML,ESPECIAIS,CERVEJA,BEBIDAS ALCOÓLICAS
SACO MULTICLEAN ENXUGAO 70X42CM REF 599,PANO MULTIUSO,PANOS/FLANELAS,LAVANDERIA
"ASA DO BRASIL TABUA DE CARNE 35X22,5",TÁBUA,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
DOCE TORRONE MONTEVERGINE AMEND 45G,TORRONE,DOCE TABLETE,MERCEARIA DOCE
BISC AMANT TRIUNFO CHOCOLATE 330G,AMANTEIGADO,BISCOITO,MERCEARIA DOCE
QUEIJO PRATO (FATIADO) LA PAULINA (V)KG,PRATO,QUEIJO,FRIOS
LAVA ROUPA LIQ TUFF COCO 1L,DELICADA,LAVA ROUPA LÍQUIDO,CUIDADOS COM A ROUPA
PALHETA VTO PVF15,PALHETA,AUTOMOTIVO ACESSÓRIOS,AUTOMOTIVO
BRINQUEDO SSPET ANIMAIS PELCIA,BRINQUEDO,ACESSÓRIOS PET,PET SHOP
BOLO MILHO CREMOSO kg .,MILHO,BOLOS,MERCEARIA DOCE
REMOV ESM IDEAL C/SILICONE FR 200ML,REMOVEDOR ESMALTE,REMOVEDOR,CUIDADOS COM MÃOS E PÉS
SALG APER PINGO DE OURO BACON 90G,APERITIVO BASE FARINHA,SALGADINHO E APERITIVO,MERCEARIA DOCE
MASSA P/PASTEL MAGS 500G,PASTEL ROLO,MASSA FRESCA,MASSAS FRESCAS
CURRY AMIL 40GR .,CURRY,CONDIMENTO NATURAL,MERCEARIA SALGADA
SAND HAVAIANAS SL FLO 39/40 PRETO,SANDÁLIA,CALÇADO ADULTO,CALÇADO
ASA DO BRASIL CHUVEIRINHO P/ TORNEIRA,CHUVEIRINHO TORNEIRA,MANUTENÇÃO COZINHA,UTILIDADES DE COZINHA
JG PANELA TRAMONTINA 7P TURIM 20298681,CONJUNTO DE PANELAS,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
LA DE ACO LIMPPANO C/8 .,LÃ DE AÇO,ESPONJA DE AÇO,CUIDADOS COM A COZINHA
"ALIM P CAES PEDIGREE 3KG, EQ.NAT",SECO,ALIMENTO PARA CÃES,PET SHOP
BEB LACTEA FERM BATAVO PENSE ZERO 850G AMORA,BEBIDA LÁCTEA ZERO,IOGURTE,IOGURTES
JOGO COPO BAMBOLE ROCKS C 6,COPO,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
LIMPA FORNO ACAO LAR MICROONDAS 200G,LIMPA FORNO,DESENGORDURANTE,CUIDADOS COM A COZINHA
SALGADINHO TORTILHA DORITOS NACHO 96G,SALGADINHOS TORTILHAS,SALGADINHO E APERITIVO,MERCEARIA DOCE
AMENDOIM CROCANTE LEV SALG kg .,AMENDOIM,SALGADINHO E APERITIVO,MERCEARIA DOCE
GAR TERMICA SOPRANO 1L CRISTAL BRANCA,GARRAFA TÉRMICA,UTENSÍLIOS PARA CAFÉ,UTILIDADES DE COZINHA
PANELA TRAMONTINA 18CM ALUMINIO VERM,PANELAS,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
LENCO UMED BABY POPPY C/450 BALDE AZ,LENÇO UMEDECIDO INFANTIL,LENÇO UMEDECIDO INFANTIL,HIGIENE PESSOAL INFANTIL
DOCE GOIABADA PREDILECTA CASCAO 350G,GOIABADA,DOCE MASSA,MERCEARIA DOCE
SAB PALMOLIVE NATURA 85g,SUAVE,SABONETE BARRA,HIGIENE PESSOAL
CAIXA ISOPOR ISOPLAST 45L,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS,LAZER/CAMPING
TINT PERM KOLESTON CR KIT GLOSS 575 CAST CHIC,PERMANENTE CASTANHO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
CHOCOLATE MILKA 100g,CHOCOLATE IMPORTADO,BOMBONIERE,MERCEARIA DOCE
DES SPRAY PHEBO FRESCOR MANHA 90ML,SPRAY COM PERFUME,DESODORANTE FEMININO,CUIDADOS COM O CORPO
QUEIJO GORG QUATA FRAC KG,GORGONZOLA,QUEIJO,FRIOS
PICANHA REAL BOI kg BIFE,PICANHA,BOVINO RESFRIADO,AÇOUGUE
JOGO MELIDA PORTA FILTRO C/ADAPTAD .,FILTRO DE PAPEL,UTENSÍLIOS PARA CAFÉ,UTILIDADES DE COZINHA
CERVEJA HEMMER HONEY 500ML-GF,ESPECIAIS,CERVEJA,BEBIDAS ALCOÓLICAS
IOGURTE VIMILK POL 0% 900G AMEIXA LIGHT,POLPA,IOGURTE,IOGURTES
QUEIJO VDE CAMPO MUCAREL MINI S/LACT PESO,MUSSARELA ZERO LACTOSE,QUEIJO,FRIOS
CREME CABELO KOLECARPINA ANACONDA 90G,TRADICIONAL,CREME DE PENTEAR,CUIDADOS COM O CABELO
NECESSAIRE IMP ACASA SLIM D PONTOS 475,NECESSAIRES,NECESSAIRES,MALAS/NECESSAIRES
FUBA MIMOSO ANGELICA 500G,FUBÁ,FARINÁCEO,MERCEARIA DOCE
PAO DELICIAS DO TRIGO 500G HOT-DOG .,HOT DOG TRADICIONAL,PÃES,PADARIA
DESENG SUPREMA SQUEEZE 500ML,REFIL TRADICIONAL,DESENGORDURANTE,CUIDADOS COM A COZINHA
TINT PERM ALTA MODA CR 150G 8.1 LRO CL CZ,PERMANENTE LOURO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
"SORVETE NOBRELLI 1,5L PT CREME",POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
FILE TILPAPIA TILLY GENESEAS CONG 800G,FILÉ DE TILÁPIA,PEIXE CONGELADO,PEIXARIA
"SORVETE KIDELICIA PAVE PREMIUM 1,5L",POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
DOCE PACOCA MISTER MARRO ROLHA 144G,PAÇOCA,DOCE TABLETE,MERCEARIA DOCE
CIDER FIZZ NORDIC MORANGO LT 500ML,SIDRA,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
RODINHO PIA UMBRA B FLEX CZ 8918,RODO PIA,LIMPEZA,LAVANDERIA
ESPONJA FACIAL BANHO FRESH 120 C/2,ESPONJA FACIAL,LIMPEZA DO ROSTO,CUIDADOS COM O ROSTO
ESCOVA NOVICA LONGO ALCANCE,LOUÇA,ESCOVAS,LAVANDERIA
CADEIRA TRAMONTINA CL C/B AZ ES 92040030,CADEIRA,CAMPING/PESCA,LAZER/CAMPING
PRATO GERMER EDROS LANCHE 4.1864220.00,PRATO,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
HIDRAT OL CORPO PAIXAO IRRESI GTS 200ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO,CUIDADOS COM O CORPO
CADERNO TILIBRA CD UNIV 12M 240FL MINNIE,CADERNO,MATERIAL ESCOLAR,PAPELARIA
COPO CERVEJA SERRAMALTE 340ML,COPO,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
CONDIC CAB INOAR VEGAN 300ML,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
SUCO PFANNER CRANBERRY TP 1L,REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
VINHO VINA MAYOR RESERVA GFA 750ML,VINHO TINTO,VINHO,BEBIDAS ALCOÓLICAS
ABS C/ABAS SEMPRE LIVRE DRY MAX SECA C/8,EXTERNO COM ABAS,ABSORVENTE,CUIDADOS COM O CORPO
ENFEITE ARVORE NATAL VM,ENFEITES DE ÁRVORE DE NATAL,ENFEITES DE NATAL,DECORAÇÃO
GUARDANAPO IMP FOLHA VD 33X33 200317,GUARDANAPO,GUARDANAPO DE PAPEL,DESCARTÁVEIS
ADOCANTE STEVIA NATUS SUCRA FRASCO 80ML,STEVIA,ADOÇANTE,MERCEARIA DOCE
LIMP PERFD VEJA AROMA SENSE 500ML ENERGIA,PERFUMADO,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
LIMP PERF CASA&PERFUME LIMP.GERAL INFANZIA 500ML,PERFUMADO,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
SAB BAR DOVE EXFOLIACION 90G,HIDRATANTE,SABONETE BARRA,HIGIENE PESSOAL
TINT TONALZ SALON-L LIGHT COLOR 45G 1.0 PTO AZULD,TONALIZANTE PRETO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
CHA ERVAS PRENDA SENE C 10 SAQ 10G,ERVAS,CHÁ,MERCEARIA DOCE
LUA DE MEL CHAMA CREME kg,DOCE,PÃES,PADARIA
PORTA RETRATO UMBRA PRISMA DR MULTI 9221,PORTA RETRATO,PORTA RETRATO,DECORAÇÃO
MIST BOLO NITA AIPIM 5KG,MISTURAS,FARINÁCEO,MERCEARIA DOCE
FERRO ARNO VAPOR VIRTUO 20 220V FV20,FERRO DE PASSAR A VAPOR,FERRO/PASSADOR DE ROUPA,ELETRO
BRINQ FISHER-PRICE TREM DOS ANIMAIS,OUTROS,BRINQUEDOS UNISEX,BRINQUEDO
FAQUEIRO TRAMONTINA 91P LAGUNA 66906890,FAQUEIRO,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
SALSA SATO MC,SALSA,VERDURAS,HORTIFRUTI
CORDAO TASCHIBRA 100LED COLOR IS VD 220V,CORDÃO,ILUMINAÇÃO,DECORAÇÃO
"MAC SEMOLADO BASILAR 500G, ESPAG N8",ESPAGUETE,MASSA SECA,MERCEARIA SALGADA
CHA MATE 250ml VIVA BEM TRADICIONA,MATE,CHÁ PRONTO,BEBIDAS NÃO ALCOÓLICAS
VINHO ITALIANO PRIMAVOCE 750ML,VINHO ITALIANO,VINHO,BEBIDAS ALCOÓLICAS
FINAS ERVAS C DAS ERVAS 15G,FINALIZADOR,TRANSFORMAÇÃO CABELOS,CUIDADOS COM O CABELO
MORTADELA PIF PAF TRADICAO KG PECA/PEDAC,MORTADELA TRADICIONAL,MORTADELA,FRIOS
SALSICHA PERDIGAO HOT DOG CONG kg PECA,SALSICHA HOT DOG,SALSICHA,EMBUTIDOS
"PULVERIZADOR PLASVALE 0,5L",PULVERIZADOR,JARDINAGEM CUIDAR,JARDINAGEM
PAO QUEIJO CATARININHO TRADICIONAL 72G,TRADICIONAL,PÃO DE QUEIJO,SALGADOS
CEREAL INF MILNUTRI ARROZ SC 230G,CEREAIS,NUTRIÇÃO INFANTIL,MERCEARIA DOCE
VELA EXT LUZ N.5 AZUL .,VELA,ARTIGOS PARA FESTAS,DESCARTÁVEIS
MORANGA POLIDA KG,ABÓBORA,LEGUMES,HORTIFRUTI
TOALHA BANHO FESTIVA UN PINK,TOALHA,BANHO,"CAMA, MESA E BANHO"
SABONETE LIQ DAVENE REGULAR 500ML,BÁSICO,SABONETE LÍQUIDO,HIGIENE PESSOAL
ERVAS FINAS KITANO 10G-PC,ERVAS FINAS,CONDIMENTO NATURAL,MERCEARIA SALGADA
LUVAS LATEX BOMPACK 1PR AMAR GDE,LUVA DE LÁTEX,LUVA,LAVANDERIA
COPO DESC DANUBIO C 100X300ML,COPO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
SANDALIA RIDER MASC STRIKE 23376,SANDÁLIA,CALÇADO ADULTO,CALÇADO
TINT SL COLOR TOT KIT N1.0 PRETO AZULADO,PERMANENTE PRETO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
DESOD JULIANA PAES GLAM 24H AE 150ML,AEROSOL COM PERFUME,DESODORANTE UNISSEX,CUIDADOS COM O CORPO
SEC CAB TAIFF TITANIUM COLORS 127V,SECADOR CABELO,CUIDADOS PESSOAIS,ELETRO
BALAO KIREY GIGANTE AMARELO C/1,BALÃO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
"LIXEIRA (PLASTICO, TAM: 220MM X MM) -DAISO",LIXEIRA,LIXEIRA,LAVANDERIA
SAIDA BANHO ATLANTICA S/MANGA P RS,ROUPÃO,BANHO,"CAMA, MESA E BANHO"
SACO ALIMENTOS FREEZER-ROLL 5L C/50,SACO PARA FREEZER,SACOS,DESCARTÁVEIS
RALINHO ACRILICA P/PIA CESTA. ASA DO BRASIL,RALINHO,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
CONDIC INF HOT WHEELS SPORT AMARELO 300ML,TRADICIONAL,CONDICIONADOR INFANTIL,HIGIENE PESSOAL INFANTIL
PEITO FRANGO SADIA C/RASP LIMAO 350G,PEITO DE FRANGO,AVE RESFRIADA,AÇOUGUE
SUCO PRONTO MISTO GREENPEOPLE 500ML LAR/CEN/BET,REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
VINHO CHILENO TRIO CABERNET SAUV.TTO 750ML,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
BALDE CERVEJA STELLA ARTOIS 5L,BALDE DE GELO,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
COBERTOR IMP ACASA D CASAL LISO CZ 02,COBERTOR,CAMA,"CAMA, MESA E BANHO"
TOALHA ENXUTA ROSTO LILAS,TOALHA DE ROSTO,BANHO,"CAMA, MESA E BANHO"
PAO BISNAG JULIANA 300G,BISNAGUINHA,PÃES,PADARIA
SUCO CONC DAFRUTA MANGA 500ML,REGULAR,SUCO CONCENTRADO,BEBIDAS NÃO ALCOÓLICAS
VELA BELEM N7 26g,VELA,ILUMINAÇÃO,DECORAÇÃO
BALA MASTIG DORI MINI GOMETS EUCAL 148 DY-30UN 25G,BALAS - MASTIGÁVEIS,BOMBONIERE,MERCEARIA DOCE
REQUEIJAO LAC LELO ZERO LACTOSE PT 200G,ZERO LACTOSE,REQUEIJÃO,GORDUROSOS
AMERICANO ACASA 45X30 AZ SPA482,JOGO AMERICANO,MESA,"CAMA, MESA E BANHO"
COOKIES BIOSOFT 100G LEVE LIGHT AVEIA/MEL,COOKIE,BISCOITO,MERCEARIA DOCE
PH FD PERSONAL VIP ETERNITY WHITE 4X30M,FOLHA DUPLA,PAPEL HIGIÊNICO,HIGIENE PESSOAL
"CHOC NEUGEBAUER STIKADINHO MORANGO 61,5G",CHOCOLATE BARRA,BOMBONIERE,MERCEARIA DOCE
FINALIZADOR FINA FLOR 500ML DEFRIZANT/LISOS,FINALIZADOR,TRANSFORMAÇÃO CABELOS,CUIDADOS COM O CABELO
BISC DELITALIA KG QUEIJO,SABORIZADO,BISCOITO,MERCEARIA DOCE
CJ TALHER KREA ACO INOX 16PCS 821,CONJUNTO DE TALHERES,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
FARINHA MAND TRADICIONAL 500G A FIN,FARINHA DE MANDIOCA,FARINÁCEO,MERCEARIA DOCE
VEDANTE ARMARINHO B,FITA VEDA ROSCA,FIXAÇÃO,MANUTENÇÃO
PRENDEDOR ROUPA JARDIM MADEIRA C/12,PRENDEDOR DE ROUPA,ACESSÓRIOS DE LAVANDERIA,LAVANDERIA
PERFUME SHAKIRA ROCK LOVE 80ML,PERFUMES,PERFUMAÇÃO,CUIDADOS COM O CORPO
SAND MORMAII NEOCYCLE 40 PTO/CINZA,SANDÁLIA,CALÇADO ADULTO,CALÇADO
NHOQUE BAT.CATUPIRY MEZZANI 400GR,NHOQUE,MASSA FRESCA,MASSAS FRESCAS
AGUA DE COCO VERDE FRUIT LIFE 1LT,NATURAL,ÁGUA DE COCO,BEBIDAS NÃO ALCOÓLICAS
COSTELA SOBERANO DEFUMADA KG,COSTELA,BOVINO RESFRIADO,AÇOUGUE
LENÇOL AVULSO ELÁSTICO ROYAL SANTISTA,LENCOL AVULSO,CAMA,"CAMA, MESA E BANHO"
FORNO ELET OSTER TASTE 15L VM 220V 15LTR,CONVENCIONAL,FORNO ELÉTRICO,ELETRO
VINHO FRANCES ARROGANT FROG T FRUT BCO 750ML,VINHO FRANCÊS,VINHO,BEBIDAS ALCOÓLICAS
JARRA GS JUICE 1.3L 311007042,JARRA/GARRAFA,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
COND GRIFFUS VOU DE OLIVA 420ML,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
CHA AROMA 50G. C/10 ESPRESSO INTENS,OUTROS,CHÁ,MERCEARIA DOCE
COENTRO UN,COENTRO,VERDURAS,HORTIFRUTI
JILO VERD FRUT 250G,JILÓ,LEGUMES,HORTIFRUTI
LAVA ROUPA LIQ SURF CONC ROSAS 630ML,BÁSICO,LAVA ROUPA LÍQUIDO,CUIDADOS COM A ROUPA
VINHO ESPUMANTE ASTI DOLCE SAN SIL GFA 750ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
CONDIM SN TOMILHO PO 30G-PT,TOMILHO,CONDIMENTO NATURAL,MERCEARIA SALGADA
SORVETE KIBON MINI DOCE LEITE 100ML,MINI BOMBOM,SORVETE,CONGELADOS DOCES
MOLHO TEMPERATTA 150ML INGLES .,TRADICIONAL,MOLHO INGLÊS,MERCEARIA SALGADA
CR PENTEAR SEDA KERAFORCE QUIMICA 300ML- FR,PÓS QUÍMICA,CREME DE PENTEAR,CUIDADOS COM O CABELO
T.MAXTON KIT 10.13 LOURO PER,PERMANENTE LOURO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
FRALDA POM POM 14H JUMBO GD C 20,INTERMEDIÁRIA G,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
FEIJAO CARIOCA 1kg KICALDO 10X1,FEIJÃO CARIOCA,FEIJÃO,MERCEARIA SALGADA
FIO DENTAL SANIFILL PREMIUM MENTA 50M,FIO DENTAL,FIO/FITA DENTAL,HIGIENE ORAL
